"Step","playful-oath-296 - Percentage of times the goal was reached through time","playful-oath-296 - Percentage of times the goal was reached through time__MIN","playful-oath-296 - Percentage of times the goal was reached through time__MAX"
"269","0.3296296296296296","0.3296296296296296","0.3296296296296296"
"270","0.3284132841328413","0.3284132841328413","0.3284132841328413"
"271","0.3272058823529412","0.3272058823529412","0.3272058823529412"
"272","0.326007326007326","0.326007326007326","0.326007326007326"
"273","0.3248175182481752","0.3248175182481752","0.3248175182481752"
"274","0.3236363636363636","0.3236363636363636","0.3236363636363636"
"275","0.32608695652173914","0.32608695652173914","0.32608695652173914"
"276","0.3249097472924188","0.3249097472924188","0.3249097472924188"
"277","0.3237410071942446","0.3237410071942446","0.3237410071942446"
"278","0.3225806451612903","0.3225806451612903","0.3225806451612903"
"279","0.32142857142857145","0.32142857142857145","0.32142857142857145"
"280","0.3202846975088968","0.3202846975088968","0.3202846975088968"
"281","0.3191489361702128","0.3191489361702128","0.3191489361702128"
"282","0.3215547703180212","0.3215547703180212","0.3215547703180212"
"283","0.3204225352112676","0.3204225352112676","0.3204225352112676"
"284","0.3192982456140351","0.3192982456140351","0.3192982456140351"
"285","0.32167832167832167","0.32167832167832167","0.32167832167832167"
"286","0.3205574912891986","0.3205574912891986","0.3205574912891986"
"287","0.3194444444444444","0.3194444444444444","0.3194444444444444"
"288","0.31833910034602075","0.31833910034602075","0.31833910034602075"
"289","0.31724137931034485","0.31724137931034485","0.31724137931034485"
"290","0.3161512027491409","0.3161512027491409","0.3161512027491409"
"291","0.3184931506849315","0.3184931506849315","0.3184931506849315"
"292","0.3174061433447099","0.3174061433447099","0.3174061433447099"
"293","0.3163265306122449","0.3163265306122449","0.3163265306122449"
"294","0.3152542372881356","0.3152542372881356","0.3152542372881356"
"295","0.3141891891891892","0.3141891891891892","0.3141891891891892"
"296","0.31313131313131315","0.31313131313131315","0.31313131313131315"
"297","0.31208053691275167","0.31208053691275167","0.31208053691275167"
"298","0.3110367892976589","0.3110367892976589","0.3110367892976589"
"299","0.31","0.31","0.31"
"300","0.3089700996677741","0.3089700996677741","0.3089700996677741"
"301","0.3079470198675497","0.3079470198675497","0.3079470198675497"
"302","0.3069306930693069","0.3069306930693069","0.3069306930693069"
"303","0.3059210526315789","0.3059210526315789","0.3059210526315789"
"304","0.30491803278688523","0.30491803278688523","0.30491803278688523"
"305","0.30392156862745096","0.30392156862745096","0.30392156862745096"
"306","0.30293159609120524","0.30293159609120524","0.30293159609120524"
"307","0.30194805194805197","0.30194805194805197","0.30194805194805197"
"308","0.30097087378640774","0.30097087378640774","0.30097087378640774"
"309","0.3","0.3","0.3"
"310","0.2990353697749196","0.2990353697749196","0.2990353697749196"
"311","0.30128205128205127","0.30128205128205127","0.30128205128205127"
"312","0.3003194888178914","0.3003194888178914","0.3003194888178914"
"313","0.30254777070063693","0.30254777070063693","0.30254777070063693"
"314","0.30158730158730157","0.30158730158730157","0.30158730158730157"
"315","0.30063291139240506","0.30063291139240506","0.30063291139240506"
"316","0.2996845425867508","0.2996845425867508","0.2996845425867508"
"317","0.29874213836477986","0.29874213836477986","0.29874213836477986"
"318","0.29780564263322884","0.29780564263322884","0.29780564263322884"
"319","0.3","0.3","0.3"
"320","0.29906542056074764","0.29906542056074764","0.29906542056074764"
"321","0.2981366459627329","0.2981366459627329","0.2981366459627329"
"322","0.29721362229102166","0.29721362229102166","0.29721362229102166"
"323","0.2962962962962963","0.2962962962962963","0.2962962962962963"
"324","0.2953846153846154","0.2953846153846154","0.2953846153846154"
"325","0.294478527607362","0.294478527607362","0.294478527607362"
"326","0.29357798165137616","0.29357798165137616","0.29357798165137616"
"327","0.2926829268292683","0.2926829268292683","0.2926829268292683"
"328","0.2917933130699088","0.2917933130699088","0.2917933130699088"
"329","0.2909090909090909","0.2909090909090909","0.2909090909090909"
"330","0.29003021148036257","0.29003021148036257","0.29003021148036257"
"331","0.2891566265060241","0.2891566265060241","0.2891566265060241"
"332","0.2882882882882883","0.2882882882882883","0.2882882882882883"
"333","0.2874251497005988","0.2874251497005988","0.2874251497005988"
"334","0.2865671641791045","0.2865671641791045","0.2865671641791045"
"335","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"336","0.28486646884273","0.28486646884273","0.28486646884273"
"337","0.28402366863905326","0.28402366863905326","0.28402366863905326"
"338","0.2831858407079646","0.2831858407079646","0.2831858407079646"
"339","0.2823529411764706","0.2823529411764706","0.2823529411764706"
"340","0.28152492668621704","0.28152492668621704","0.28152492668621704"
"341","0.2807017543859649","0.2807017543859649","0.2807017543859649"
"342","0.27988338192419826","0.27988338192419826","0.27988338192419826"
"343","0.27906976744186046","0.27906976744186046","0.27906976744186046"
"344","0.2782608695652174","0.2782608695652174","0.2782608695652174"
"345","0.2774566473988439","0.2774566473988439","0.2774566473988439"
"346","0.276657060518732","0.276657060518732","0.276657060518732"
"347","0.27586206896551724","0.27586206896551724","0.27586206896551724"
"348","0.27793696275071633","0.27793696275071633","0.27793696275071633"
"349","0.27714285714285714","0.27714285714285714","0.27714285714285714"
"350","0.27635327635327633","0.27635327635327633","0.27635327635327633"
